bigram,origin,G2,target_freq,target_share
trade war,seed,,,
trade tensions,seed,,,
trade dispute,seed,,,
trade barriers,seed,,,
import tariffs,seed,,,
retaliatory tariffs,seed,,,
tariff increase,seed,,,
economic sanctions,seed,,,
financial sanctions,seed,,,
trade sanctions,seed,,,
export controls,seed,,,
export restrictions,seed,,,
entity list,seed,,,
sanctions regime,seed,,,
geopolitical risk,seed,,,
geopolitical tensions,seed,,,
geopolitical uncertainty,seed,,,
national security,seed,,,
foreign policy,seed,,,
political risk,seed,,,
regional conflict,seed,,,
supply disruption,seed,,,
supply security,seed,,,
import dependence,seed,,,
near shoring,seed,,,
critical infrastructure,seed,,,
rare earth,seed,,,
critical minerals,seed,,,
critical materials,seed,,,
semiconductor supply,seed,,,
chip shortage,seed,,,
technology transfer,seed,,,
technology restrictions,seed,,,
economic decoupling,seed,,,
dual use,seed,,,
export ban,seed,,,
critical technologies,seed,,,
energy security,seed,,,
energy independence,seed,,,
gas supply,seed,,,
oil supply,seed,,,
investment screening,seed,,,
industrial policy,seed,,,
capital controls,seed,,,
currency manipulation,seed,,,
protectionist measures,seed,,,
import substitution,seed,,,
cyber attack,seed,,,
cyber security,seed,,,
data sovereignty,seed,,,
supply chain,discovered,918893.630337,272579,0.746495
natural gas,discovered,537230.675462,132335,0.888500
oil gas,discovered,243082.730615,78375,0.687560
middle east,discovered,242016.706455,75025,0.714987
united states,discovered,226868.444585,113095,0.452387
supply demand,discovered,201991.172251,49641,0.890390
covid 19,discovered,194669.408664,94270,0.464352
gas prices,discovered,169329.237451,44841,0.832841
raw material,discovered,161036.147423,74942,0.481524
crude oil,discovered,138015.494490,35502,0.855326
oil prices,discovered,132298.445666,39764,0.737271
raw materials,discovered,101189.559989,45265,0.499531
renewable energy,discovered,89464.323594,25461,0.777768
supply chains,discovered,80102.680506,19617,0.893103
north america,discovered,77093.770087,100202,0.231093
energy transition,discovered,71955.113401,16589,0.937761
data center,discovered,71887.912600,37119,0.438609
commodity prices,discovered,71876.891125,29255,0.546393
economic growth,discovered,69537.093458,18352,0.835511
power generation,discovered,68589.710249,20458,0.742901
chain issues,discovered,68395.624047,15746,0.938771
federal government,discovered,67894.860851,19666,0.764560
north american,discovered,66240.678899,47452,0.336324
global supply,discovered,65717.266976,14829,0.952714
cubic feet,discovered,65354.879136,20111,0.720334
energy prices,discovered,64495.256769,16150,0.876099
global economy,discovered,61740.700728,15864,0.856218
global economic,discovered,58953.303540,14042,0.914014
19 pandemic,discovered,57730.624043,19648,0.651545
data centers,discovered,55418.615175,22957,0.537232
million cubic,discovered,55328.216170,17901,0.685284
oil price,discovered,55041.922525,21934,0.557691
material prices,discovered,53912.166440,17272,0.692043
feet day,discovered,52252.896160,13933,0.827572
hong kong,discovered,51760.542833,28391,0.416248
gas production,discovered,51384.706102,13482,0.840052
energy costs,discovered,49945.391260,16174,0.684672
power plants,discovered,49838.084951,14021,0.786504
clean energy,discovered,49571.042136,13060,0.836858
demand supply,discovered,49061.808918,12533,0.860724
climate change,discovered,48429.059662,11188,0.936313
chain challenges,discovered,47255.301947,11266,0.913336
iron ore,discovered,46163.552184,19517,0.526874
macro environment,discovered,45598.621330,20836,0.489786
energy efficiency,discovered,45221.225512,14426,0.694994
chain disruptions,discovered,43071.168435,9706,0.953625
artificial intelligence,discovered,41931.006785,12757,0.728514
important role,discovered,41753.267310,12369,0.747914
global demand,discovered,40774.608600,10111,0.883597
value chain,discovered,40247.304915,17934,0.501384
low carbon,discovered,39821.798728,10190,0.859408
economic conditions,discovered,39529.888689,18756,0.473135
inflationary pressures,discovered,39384.349162,14639,0.596998
gas price,discovered,37746.660951,12077,0.692965
consumer confidence,discovered,37363.394351,12529,0.661266
supply constraints,discovered,36946.899064,9729,0.837263
gas market,discovered,36914.900132,9330,0.868958
electric vehicles,discovered,36563.453047,11203,0.723428
material costs,discovered,36209.864283,20395,0.406996
macroeconomic environment,discovered,36116.918668,13387,0.598649
east africa,discovered,35724.253799,11425,0.693265
economic uncertainty,discovered,35691.901855,9790,0.805828
market volatility,discovered,34003.147161,11430,0.659664
chain constraints,discovered,33946.416427,7923,0.928948
big data,discovered,33176.389213,10069,0.730273
economic environment,discovered,32648.861779,21433,0.359451
net zero,discovered,32303.485186,9283,0.770501
european union,discovered,32061.908659,9156,0.775210
world largest,discovered,31729.594331,10606,0.663373
europe middle,discovered,31281.016410,9079,0.763069
outside china,discovered,30701.054592,8859,0.767412
parts world,discovered,30687.374010,12239,0.557255
homeland security,discovered,30274.262921,6770,0.958788
gas business,discovered,30158.296002,9684,0.690481
high inflation,discovered,29858.617116,7689,0.854523
nuclear power,discovered,29741.415172,7115,0.910778
department defense,discovered,29501.515549,7265,0.888902
southeast asia,discovered,29456.119085,13244,0.497203
energy sector,discovered,29259.759826,7875,0.820398
economic activity,discovered,28525.880433,10009,0.632081
greenhouse gas,discovered,28310.356317,7604,0.821965
global markets,discovered,28091.885675,10080,0.618177
government agencies,discovered,27583.606530,6865,0.880806
